t_p	t_off	vol_flow	p_control	gamma_global	gamma_local[0]	gamma_local[1]	gamma_local[2]	gamma_local[3]	gamma_local[4]	gamma_local[5]	gamma_local[6]	gamma_local[7]
0.001	0.003	60.40533704834138	0.5148104821720481	0.8736927835051547	0.9998	0.9962	0.8042	0.9872	0.9912	0.8492	0.7658	0.8266
0.001	0.004	59.8958640723358	0.6413900810165084	0.923719587628866	0.9888	0.9976	0.9636	0.993	0.9948	0.9226	0.84	0.84
0.001	0.005	59.98413359004916	0.8384961315820989	0.9531494845360825	0.9994	0.9966	0.9536	0.9968	0.9978	0.9594	0.9204	0.8678
0.001	0.006	59.6089655228734	1.3923391779964864	0.9730721649484535	0.9604	0.9968	0.979	0.9968	0.998	0.979	0.9752	0.8896
0.001	0.007	59.87919737725936	2.170816007974303	0.9810773195876289	0.9944	0.9986	0.9804	0.9966	0.9984	0.9888	0.9858	0.9036
0.001	0.008	59.96048977009855	2.6147719942814107	0.9803896907216495	0.9966	0.9978	0.9852	0.995	0.999	0.9818	0.9864	0.904
0.001	0.009000000000000001	59.82597219893937	2.7897366202659524	0.9797360824742269	0.9836	0.9938	0.9738	0.9958	0.9984	0.9854	0.99	0.9044
0.001	0.01	60.44876949601	2.940680417861683	0.9766185567010309	0.9952	0.9946	0.9738	0.9942	0.9982	0.9778	0.9852	0.8948
0.001	0.011	59.95332218825725	3.074473541029304	0.9757494845360823	0.9876	0.9966	0.9764	0.9952	0.9978	0.9758	0.9838	0.892
0.001	0.012	60.150648181206805	3.2993870364068836	0.9693886597938144	0.998	0.996	0.978	0.9948	0.998	0.9536	0.977	0.8808
0.001	0.013000000000000001	60.13085478727282	3.497696328946021	0.9627649484536082	0.999	0.9962	0.9812	0.9958	0.9974	0.9292	0.9692	0.8748
0.001	0.013999999999999999	59.67440860383062	3.7045377610226997	0.9483237113402061	0.9962	0.9946	0.9756	0.9938	0.9948	0.8978	0.9448	0.8624
0.001	0.015	59.99732441974702	3.899582274257969	0.9359185567010307	0.9962	0.9968	0.9756	0.994	0.9936	0.883	0.913	0.8432
0.001	0.016	60.18066441154831	4.017118090867702	0.924562886597938	0.9964	0.996	0.9714	0.9956	0.9932	0.8662	0.882	0.84
0.001	0.017	59.688850110758075	4.119044666945275	0.9123484536082475	0.996	0.988	0.9668	0.9916	0.9922	0.8522	0.864	0.8084
0.001	0.018	59.988377638896	4.226129849969367	0.9005979381443299	0.9926	0.9932	0.9664	0.993	0.99	0.8212	0.8346	0.8166
0.001	0.019	60.15698884890736	4.338117353693596	0.8789185567010308	0.9962	0.9884	0.9612	0.9924	0.9866	0.7826	0.804	0.7626
