timestep_reward_type: delta_gamma
timestep_factor: 1
episode_reward_type: sum_of_rewards
episode_factor: 0
tp/toff_init: [15, 15]
std: 0.4
num_episodes: 1500
num_timesteps: 15
model_reload: no

episode	episode_reward	reward_last_timestep	gamma_global_last_timestep	loss	actor_loss	critic_loss	entropy
0	0.898846987071934	0.005145725	0.8333803828312746	0.0047609867	0.0052232496	4.0384766e-05	-0.00050264783
1	0.8801981578728487	-0.0046263556	0.7920417607527744	0.036038145	0.036290463	0.00025033214	-0.00050264783
2	0.8757075493263639	0.002620436	0.8050596502719058	0.014354669	0.014826152	3.116448e-05	-0.00050264783
3	0.8889474503748261	0.00468975	0.8188778209966626	0.017221278	0.017633568	9.035659e-05	-0.00050264783
4	0.8887455003458111	0.0018423492	0.8140913087345418	0.016248519	0.016701212	4.995416e-05	-0.00050264783
5	0.904191023858335	0.0010690282	0.8416071248978346	0.0003187433	0.00081071875	1.0672374e-05	-0.00050264783
6	0.9078043825997538	-0.00018466405	0.8435595340123383	0.00018695462	0.00068824756	1.3549172e-06	-0.00050264783
7	0.9125037571654543	0.006606237	0.870897470404633	-0.013301637	-0.012817541	1.8551586e-05	-0.00050264783
8	0.9158187986275678	0.000637155	0.8600731691258587	-0.0020433073	-0.0015457381	5.0787276e-06	-0.00050264783
9	0.9107220741012767	0.0044177966	0.8639879176305294	-0.0057985685	-0.0052965893	6.6868347e-07	-0.00050264783
10	0.926156632920173	-0.0071408683	0.8757813000745249	-0.013381026	-0.012902877	2.4499377e-05	-0.00050264783
11	0.9328435000685636	-0.0050866804	0.8777498038315585	-0.0055171205	-0.0050412915	2.6818981e-05	-0.00050264783
12	0.9292550579625976	0.0040899073	0.8866431883465546	-0.012371983	-0.011908116	3.8779854e-05	-0.00050264783
13	0.9280628017548102	-0.0007161568	0.8804181611877989	-0.010985654	-0.010525548	4.254173e-05	-0.00050264783
14	0.9355782751525236	0.0033275667	0.8934417197785985	-0.010566873	-0.010076467	1.2242322e-05	-0.00050264783
15	0.9390709073968478	0.0033115111	0.8979755041956433	-0.013297399	-0.012815684	2.0933672e-05	-0.00050264783
16	0.9300739917156641	0.0032711644	0.886866769636487	-0.008237299	-0.007760999	2.6348163e-05	-0.00050264783
17	0.9417211206152155	0.006853061	0.9039131799317456	-0.015525122	-0.015102819	8.034469e-05	-0.00050264783
18	0.9300365258297711	0.008928897	0.8846146389793625	-0.00679276	-0.006327384	3.7271973e-05	-0.00050264783
19	0.9349067445376148	-0.00044807742	0.8964460518832986	-0.013117869	-0.012759984	0.00014476173	-0.00050264783
20	0.9350666633738971	0.00087202946	0.8957534714294747	-0.01687235	-0.016458098	8.839516e-05	-0.00050264783
21	0.9367714163879336	0.0021253398	0.8968211828745364	-0.007298155	-0.006822957	2.7449592e-05	-0.00050264783
22	0.9332167499609261	0.0030413107	0.8808447076601378	-0.0032796978	-0.0027902906	1.3240712e-05	-0.00050264783
23	0.9387670157296876	0.0030114974	0.9002772307378536	-0.018211618	-0.017755432	4.64625e-05	-0.00050264783
24	0.9489334419730137	-0.0018581322	0.9015116975106311	-0.002700182	-0.0022444085	4.687438e-05	-0.00050264783
25	0.9352152248493739	0.0012266742	0.900948087195801	-0.012160848	-0.011679635	2.1435755e-05	-0.00050264783
26	0.939161678047118	0.001192352	0.8989630150412046	-0.010854982	-0.0103620645	9.730434e-06	-0.00050264783
