timestep_reward_type: gamma_global
timestep_factor: 1
episode_reward_type: sum_of_rewards
episode_factor: 0
tp/toff_init: [15, 15]
std: 0.4
num_episodes: 1500
num_timesteps: 15
model_reload: no

episode	episode_reward	reward_last_timestep	gamma_global_last_timestep	loss	actor_loss	critic_loss	entropy
0	0.898846987071934	0.8333804	0.8333803828312746	4.5491757	-4.491878	9.041556	-0.00050264783
1	0.887465608646755	0.8153576	0.8153576154190134	2.9468672	-3.4226825	6.3700523	-0.00050264783
2	0.8829176921817614	0.81558734	0.8155873125145384	9.194108	-5.433609	14.62822	-0.00050264783
3	0.8830749278874405	0.7991688	0.7991688343325615	12.346869	-5.7936387	18.14101	-0.00050264783
4	0.868461046186803	0.77230203	0.772302031710936	10.873242	-6.4896426	17.363388	-0.00050264783
5	0.8762293194583667	0.76359755	0.7635975219550948	3.0771074	-3.8072433	6.8848534	-0.00050264783
6	0.8538338673216064	0.75815773	0.7581577420215734	10.217764	-5.916711	16.134977	-0.00050264783
7	0.8562721374174217	0.76430875	0.7643087615816373	3.539424	-3.6259823	7.165909	-0.00050264783
8	0.8696996542736871	0.77362907	0.7736290874379734	8.0630865	-5.3761773	13.439766	-0.00050264783
9	0.8427584322103617	0.7408661	0.7408661413561737	3.114152	-3.8111916	6.925846	-0.00050264783
10	0.8606946364831638	0.7576276	0.7576275950882593	3.379822	-3.6901124	7.070437	-0.00050264783
11	0.8725726171629329	0.75998807	0.7599880529588938	7.338314	-5.315138	12.6539545	-0.00050264783
12	0.8603720099391117	0.7590695	0.7590694910010083	6.7208157	-4.6974735	11.418792	-0.00050264783
13	0.8601119754688796	0.76073235	0.7607323544913422	2.4361138	-3.5686111	6.0052276	-0.00050264783
14	0.8571367463544242	0.7493107	0.7493106919717635	2.6865497	-3.2956185	5.982671	-0.00050264783
15	0.8606311637668017	0.76233226	0.7623322405013255	4.7503314	-5.009048	9.759882	-0.00050264783
16	0.8517526769948879	0.745348	0.7453479578788206	3.2182212	-4.3633013	7.582025	-0.00050264783
17	0.8663929648439905	0.76778233	0.7677823237870214	2.7538757	-4.2238626	6.978241	-0.00050264783
18	0.8501565049565135	0.74624324	0.7462432383890651	0.35110897	-2.8325052	3.1841168	-0.00050264783
19	0.8501474871299639	0.76160836	0.7616083438973456	1.8477551	-3.9500434	5.798301	-0.00050264783
20	0.8393197565297807	0.74023736	0.7402373722442841	2.4227085	-3.8757234	6.2989345	-0.00050264783
21	0.843648486638917	0.75727487	0.7572748564408035	1.2771002	-3.0690477	4.3466506	-0.00050264783
22	0.855744271808085	0.7617692	0.7617692009240769	0.47089618	-2.225404	2.6968029	-0.00050264783
23	0.8423953455591057	0.7454854	0.7454853981412413	0.084032	-2.7261734	2.810708	-0.00050264783
24	0.8540277292108732	0.7528434	0.7528433596415085	1.0440544	-2.7524335	3.7969906	-0.00050264783
25	0.8361575844358554	0.746954	0.7469540310156227	2.4765153	-4.243535	6.720553	-0.00050264783
26	0.8384303787360852	0.7362227	0.7362226680591707	0.905111	-3.3653018	4.2709155	-0.00050264783
27	0.8391665763696162	0.72583085	0.7258308474598456	-0.27893692	-2.911956	2.6335218	-0.00050264783
