timestep_reward_type: delta_gamma
timestep_factor: 1
episode_reward_type: gamma_global
episode_factor: 0
tp/toff_init: [15, 15]
std: 0.4
num_episodes: 20
num_timesteps: 15
model_reload: C:\Users\Kalibrier-Windkanal\Documents\AFC_ReinforcementLearning\save_dir\data\measurements_alex\delta_gamma_std0.4\model_2024-11-19_1345.pth

episode	episode_reward	reward_last_timestep	gamma_global_last_timestep	loss	actor_loss	critic_loss	entropy
0	0.6812402061855669	-0.017367011	0.6812402061855669	-0.02147837	-0.021099783	0.00012406064	-0.00050264783
1	0.709080412371134	0.021115463	0.709080412371134	-0.018496504	-0.018028328	3.4471275e-05	-0.00050264783
2	0.6403505154639174	-0.039593816	0.6403505154639174	0.103648715	0.10280534	0.0013460193	-0.00050264783
3	0.6934494845360824	-0.01258969	0.6934494845360824	-0.02969399	-0.029257562	6.622025e-05	-0.00050264783
4	0.6951752577319588	0.0037278351	0.6951752577319588	-0.024737237	-0.024387598	0.0001530081	-0.00050264783
5	0.7080391752577319	0.009428866	0.7080391752577319	-0.005327824	-0.0052286587	0.0004034824	-0.00050264783
6	0.7018350515463917	0.00032474226	0.7018350515463917	-0.030707492	-0.030253801	4.8957816e-05	-0.00050264783
7	0.6924134020618555	0.021848453	0.6924134020618555	-0.016309572	-0.015918838	0.00011191333	-0.00050264783
8	0.6980072164948452	0.0074525774	0.6980072164948452	-0.014714388	-0.01450378	0.00029203924	-0.00050264783
9	0.6987845360824742	-0.013213402	0.6987845360824742	-0.01601221	-0.015567819	5.8255384e-05	-0.00050264783
