timestep_reward_type: delta_gamma
timestep_factor: 1
episode_reward_type: gamma_global
episode_factor: 0
tp/toff_init: [15, 15]
std: 0.4
num_episodes: 20
num_timesteps: 15
model_reload: C:\Users\Kalibrier-Windkanal\Documents\AFC_ReinforcementLearning\save_dir\data\measurements_alex\delta_gamma_std0.4\model_2024-11-18_1227.pth

episode	timestep	dt_p	dt_off	t_p	t_off	reward	gamma_global	delta_gamma	sum_of_gamma	sum_of_gamma_norm	gamma_local	critic_value	mu
0	0	-0.7057882	0.63737255	14.294211	15.637373	0.005788659793814488	0.6689195876288659	0.005788659793814488	0.6689195876288659	0.6689195876288659	[0.9944 0.9936 0.9892 0.9672 0.8564 0.6178 0.026  0.9636]	0.028190402	[-0.41476625  0.16049695]
0	1	-0.14018616	0.54358685	14.154025	16.18096	-0.004021649484536094	0.6648979381443298	-0.004021649484536094	1.333817525773196	0.666908762886598	[0.9936 0.9886 0.9894 0.9708 0.8472 0.6008 0.028  0.9614]	0.028914748	[-0.41749516  0.15778136]
0	2	-0.7204195	0.32484418	13.433605	16.505804	0.007019587628865787	0.6719175257731956	0.007019587628865787	2.0057350515463916	0.6685783505154639	[0.9954 0.9932 0.9878 0.9696 0.862  0.615  0.0332 0.9736]	0.028607024	[-0.41544813  0.15990305]
0	3	-0.62005556	0.3426639	12.81355	16.848469	0.00015670103092801924	0.6720742268041237	0.00015670103092801924	2.6778092783505154	0.6694523195876289	[0.993  0.9922 0.9924 0.9762 0.858  0.6318 0.0218 0.967 ]	0.02886924	[-0.41781777  0.1580483 ]
0	4	-0.5846947	-0.16201712	12.228855	16.686451	0.0025917525773195838	0.6746659793814432	0.0025917525773195838	3.3524752577319585	0.6704950515463917	[0.9944 0.9916 0.988  0.9654 0.8686 0.641  0.0254 0.9714]	0.029592557	[-0.41890457  0.15780412]
0	5	-0.22354802	0.47004253	12.005307	17.156494	-0.00021237113402072794	0.6744536082474225	-0.00021237113402072794	4.026928865979381	0.6711548109965636	[0.9914 0.995  0.9902 0.976  0.8642 0.6402 0.0296 0.9516]	0.029072119	[-0.4196092   0.15520959]
0	6	-0.7080976	0.36431208	11.29721	17.520805	0.002050515463917546	0.67650412371134	0.002050515463917546	4.703432989690722	0.6719189985272459	[0.9918 0.9908 0.9898 0.978  0.8648 0.6402 0.0332 0.9642]	0.028017087	[-0.41787213  0.1571672 ]
0	7	-0.86783564	0.34718218	10.429374	17.867987	-0.0008721649484536576	0.6756319587628864	-0.0008721649484536576	5.379064948453608	0.672383118556701	[0.992  0.9884 0.989  0.9746 0.8608 0.6526 0.0302 0.9516]	0.028057141	[-0.41857818  0.15731311]
0	8	-0.221031	0.3384736	10.208343	18.20646	0.0022556701030929105	0.6778876288659793	0.0022556701030929105	6.056952577319587	0.6729947308132874	[0.9946 0.9924 0.992  0.9778 0.8806 0.649  0.0218 0.9676]	0.027733726	[-0.41854152  0.15642792]
0	9	-0.22755654	0.050207607	9.980786	18.256668	-0.0031350515463917095	0.6747525773195876	-0.0031350515463917095	6.731705154639174	0.6731705154639174	[0.981  0.9868 0.9878 0.9738 0.877  0.6476 0.023  0.9614]	0.029205961	[-0.41945526  0.15630294]
