t_p	t_off	vol_flow	p_control	gamma_global	gamma_local[0]	gamma_local[1]	gamma_local[2]	gamma_local[3]	gamma_local[4]	gamma_local[5]	gamma_local[6]	gamma_local[7]
0.001	0.001	60.179310569824054	0.39332078462682857	0.7881278350515463	0.9998	0.9972	0.8572	0.9834	0.9724	0.6858	0.5556	0.7568
0.001	0.003	59.99085042205073	0.49656357864817957	0.8739804123711339	0.9772	0.9976	0.9704	0.99	0.9866	0.823	0.7172	0.8358
0.001	0.005	59.05961060365586	0.7972072427079496	0.9522855670103092	0.9992	0.9978	0.9804	0.9948	0.9966	0.9456	0.9034	0.898
0.001	0.007	59.866765208103864	2.031586944714363	0.9805164948453607	0.9986	0.998	0.9756	0.997	0.9998	0.981	0.98	0.9262
0.001	0.009000000000000001	59.33155181010018	2.8145472528460864	0.9807463917525772	0.9914	0.9928	0.9798	0.997	0.9996	0.9824	0.9888	0.9108
0.001	0.011	59.39751547739132	3.0829548244237603	0.9778278350515462	0.9974	0.9984	0.9792	0.997	0.9974	0.9668	0.984	0.9158
0.001	0.013000000000000001	60.20629852517834	3.595984299627134	0.9580134020618556	0.9948	0.9866	0.97	0.9954	0.9972	0.9132	0.9596	0.9022
0.001	0.015	59.995469037671285	3.937571030413341	0.9263185567010309	0.9968	0.993	0.9108	0.996	0.9912	0.8624	0.8998	0.8848
0.001	0.017	60.262291699165615	4.153229836271218	0.9114185567010309	0.991	0.9956	0.9708	0.9918	0.9894	0.83	0.8534	0.8554
0.001	0.019000000000000003	59.6747784109225	4.303997218376703	0.8878371134020618	0.994	0.9906	0.9606	0.9906	0.9844	0.7846	0.8086	0.8346
0.001	0.021	60.156536509917586	4.468430452059171	0.8567536082474226	0.9932	0.9912	0.9576	0.989	0.9788	0.7298	0.7444	0.7946
0.001	0.023	60.311748976500105	4.629846233235432	0.8399701030927834	0.9902	0.989	0.9456	0.9846	0.975	0.7124	0.7156	0.7566
0.001	0.025	59.984395470631526	4.759744666107452	0.8138185567010308	0.9904	0.9866	0.9424	0.9864	0.9618	0.6514	0.6672	0.744
0.003	0.001	59.525352713122224	0.33393252710452365	0.6986113402061855	0.9994	0.995	0.7834	0.962	0.8752	0.5364	0.419	0.6772
0.003	0.003	59.66905513690792	0.4173369490679281	0.8035505154639175	1.0	0.9948	0.9612	0.9814	0.963	0.667	0.5888	0.7712
0.003	0.005	59.78531885915862	0.613136578450877	0.9042082474226804	1.0	0.9958	0.957	0.9942	0.9926	0.8728	0.7944	0.8508
0.003	0.007	59.65214878392677	1.0307763309174545	0.9625082474226804	0.9994	0.996	0.981	0.9934	0.9988	0.956	0.9374	0.8988
0.003	0.009000000000000001	59.90023826554444	1.2492812081902929	0.9637020618556701	0.9986	0.9964	0.9624	0.9952	0.9972	0.9518	0.954	0.8974
0.003	0.011	59.482561481780515	1.857359750625015	0.9727567010309278	0.9978	0.9934	0.974	0.9944	0.9988	0.9672	0.977	0.8946
0.003	0.013000000000000001	59.76856169912703	1.923602755324287	0.9521907216494846	0.9966	0.9988	0.9246	0.9954	0.9966	0.9212	0.9488	0.8902
0.003	0.015	59.58146492489248	2.216237568088309	0.9469443298969072	0.9976	0.9962	0.9674	0.9938	0.9954	0.918	0.9132	0.8908
0.003	0.017	59.94203435821591	2.3700340452663435	0.9262391752577318	0.9968	0.9966	0.9458	0.9924	0.9964	0.8938	0.8744	0.8488
0.003	0.019000000000000003	59.54352563433446	3.1544668595637955	0.9059041237113401	0.9944	0.994	0.9652	0.9932	0.9922	0.8332	0.84	0.8302
0.003	0.021	60.16579437373384	2.971767948367077	0.9018783505154638	0.9944	0.9902	0.9632	0.9922	0.9918	0.8458	0.8176	0.8284
0.003	0.023	59.989398176766905	3.1324571877487313	0.8898494845360824	0.9936	0.9922	0.9616	0.9892	0.99	0.8142	0.7992	0.8172
0.003	0.025	60.25583992312081	3.2311376218808716	0.8758360824742267	0.9918	0.9878	0.9138	0.9888	0.9876	0.801	0.7816	0.803
0.005	0.001	59.40996986378339	0.3309837177359849	0.6960835051546392	1.0	0.9938	0.9248	0.9652	0.8684	0.5096	0.372	0.6746
0.005	0.003	59.7560819131757	0.4025326686187348	0.7910298969072163	0.9984	0.9952	0.8518	0.9796	0.9638	0.6834	0.5768	0.7598
0.005	0.005	59.68531234517971	0.5292117207373289	0.8729463917525772	0.9992	0.9972	0.9608	0.9884	0.9886	0.802	0.7412	0.8072
0.005	0.007	59.82332958880063	0.7089506930399229	0.9157030927835053	0.9986	0.9962	0.9748	0.9924	0.9908	0.856	0.853	0.8414
0.005	0.009000000000000001	59.44022893518582	0.8544380125526189	0.9234113402061855	0.9984	0.9964	0.964	0.9938	0.9896	0.876	0.8804	0.827
0.005	0.011	59.48507394373421	1.0310963444396435	0.9398948453608247	0.9988	0.9952	0.9536	0.9956	0.9936	0.9056	0.9084	0.8712
0.005	0.013000000000000001	60.06885423726644	1.2947476909240934	0.9357463917525775	0.9832	0.9946	0.9718	0.9946	0.9964	0.8898	0.903	0.861
0.005	0.015	59.428771277883826	1.4894241226011131	0.9254927835051545	0.994	0.9952	0.939	0.9934	0.9952	0.883	0.8784	0.8608
0.005	0.017	59.774551614265754	1.630709607740642	0.9146257731958761	0.9962	0.9956	0.9344	0.9948	0.9956	0.875	0.8522	0.834
0.005	0.019000000000000003	59.74041195190891	1.798718402971232	0.9069711340206185	0.9938	0.988	0.971	0.9944	0.9922	0.8626	0.8282	0.8154
0.005	0.021	59.41647243061832	2.004461577647101	0.8913206185567011	0.9958	0.9952	0.907	0.9922	0.99	0.8372	0.8034	0.8272
0.005	0.023	59.97840873195775	2.1912717127046117	0.8838979381443299	0.9904	0.9904	0.9322	0.9894	0.9884	0.818	0.7886	0.812
0.005	0.025	59.95770907912046	2.3945930605877286	0.8798164948453608	0.9808	0.9846	0.9242	0.9904	0.9844	0.8286	0.7764	0.804
0.007	0.001	59.682395158100135	0.3335149764211536	0.7310443298969072	1.0	0.9956	0.8696	0.9596	0.9182	0.5822	0.4496	0.7082
0.007	0.003	59.746895471457265	0.38232334351390235	0.7736670103092783	1.0	0.9962	0.9686	0.9792	0.9596	0.6236	0.527	0.7048
0.007	0.005	59.77804652418202	0.4617988969890534	0.8306195876288659	0.9994	0.9964	0.9438	0.9868	0.9766	0.7242	0.652	0.779
0.007	0.007	59.874989833847145	0.5827801954582891	0.8667556701030927	0.9992	0.998	0.975	0.9896	0.981	0.7672	0.7432	0.797
0.007	0.009000000000000001	59.764054183018395	0.6888750831364308	0.8877134020618556	0.999	0.9966	0.9732	0.9926	0.985	0.7952	0.7948	0.8236
0.007	0.011	59.66577607957187	0.7961298269418375	0.9063247422680412	0.9964	0.9962	0.9722	0.9922	0.9928	0.8394	0.8338	0.828
0.007	0.013000000000000001	59.80535507952041	0.9556103846435683	0.9068319587628866	0.9984	0.9966	0.943	0.9932	0.9926	0.842	0.8386	0.8432
0.007	0.015	59.5550134314447	1.1221744992739577	0.905981443298969	0.9768	0.9964	0.9584	0.9936	0.9924	0.8522	0.828	0.8372
0.007	0.017	59.662865241756975	1.2412861016205519	0.9006381443298969	0.996	0.996	0.9636	0.9928	0.9904	0.8378	0.8174	0.8252
0.007	0.019000000000000003	60.099832291718634	1.6506184043754129	0.9011319587628867	0.9956	0.9912	0.9686	0.9928	0.9946	0.8562	0.8074	0.8166
0.007	0.021	60.0393236651903	1.5503932146102342	0.8949030927835052	0.9946	0.9892	0.9674	0.9896	0.9936	0.8454	0.7952	0.8124
0.007	0.023	59.743710055318914	1.6890705666960282	0.881422680412371	0.9758	0.9944	0.963	0.99	0.9908	0.8328	0.7622	0.7938
0.007	0.025	59.90236663829865	1.823814104903848	0.8761762886597937	0.9904	0.986	0.9504	0.9884	0.9854	0.817	0.7636	0.789
0.009000000000000001	0.001	59.66231449821119	0.33341189601745347	0.7110546391752577	0.9998	0.994	0.9414	0.9602	0.8878	0.5382	0.4218	0.6228
0.009000000000000001	0.003	59.51767248036293	0.3689827360625396	0.7507144329896906	1.0	0.9962	0.9558	0.978	0.938	0.582	0.4866	0.6884
0.009000000000000001	0.005	59.86354487311891	0.4339203706776404	0.8113123711340205	1.0	0.9958	0.9586	0.9822	0.9706	0.6864	0.6122	0.7508
0.009000000000000001	0.007	59.65005532753814	0.5215752528522235	0.8391752577319588	0.9998	0.9976	0.94	0.9862	0.9784	0.722	0.6896	0.7788
0.009000000000000001	0.009000000000000001	59.928797497927505	0.6057703409874868	0.8544340206185568	0.9886	0.9964	0.9348	0.9906	0.9774	0.7454	0.7326	0.7916
0.009000000000000001	0.011	59.71491275072937	0.6855685430142975	0.8699896907216494	0.9962	0.997	0.8854	0.99	0.9854	0.7794	0.7764	0.8148
0.009000000000000001	0.013000000000000001	59.76136237114697	0.7969395178628585	0.8880216494845361	0.9976	0.9948	0.9624	0.9924	0.9864	0.8154	0.7954	0.802
0.009000000000000001	0.015	59.75281713917307	0.9144708474888095	0.8827721649484536	0.9972	0.9944	0.9416	0.9928	0.9904	0.8104	0.7898	0.7908
0.009000000000000001	0.017	59.45046289846217	1.0062039495676494	0.8838113402061853	0.995	0.9968	0.9734	0.9932	0.9894	0.8162	0.781	0.7792
0.009000000000000001	0.019000000000000003	59.84135647332533	1.1139900013360742	0.8914134020618556	0.9974	0.9936	0.9632	0.9934	0.9918	0.8432	0.7864	0.8002
0.009000000000000001	0.021	59.817693609252906	1.2338565612040815	0.8806319587628866	0.9962	0.9942	0.9668	0.9908	0.9858	0.8278	0.7644	0.781
